uuid,status,seg1,seg2,seg3,seg4,seg5,bound1,bound2,bound3,bound4,bound5,bound6,bound7,bound8,bound9,bound10,bound11,bound12
1824,ok,16.32,18.99,19.0,19.17,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
1851,ok,11.85,18.99,19.0,19.16,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
1878,ok,17.22,18.99,19.0,19.13,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
1905,ok,16.15,18.99,19.17,15.77,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
1932,ok,17.2,18.99,19.0,19.17,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
1959,ok,15.99,18.99,19.0,19.17,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
1986,ok,16.7,18.99,19.0,19.15,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2013,ok,14.13,18.99,19.16,15.7,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2040,ok,17.54,18.99,19.0,19.16,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2067,ok,17.66,18.99,19.01,19.15,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2094,ok,18.38,18.99,19.0,19.15,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2121,ok,18.27,18.99,19.0,19.16,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2148,ok,18.23,18.99,19.14,19.15,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2173,nok,18.27,18.99,19.0,19.15,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2193,nok,18.23,18.99,19.0,19.16,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2229,ok,18.28,18.99,19.0,19.15,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2256,ok,18.32,18.99,19.0,19.18,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2274,nok,18.27,18.99,19.0,19.16,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2310,nok,5.37,18.99,19.17,15.15,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2337,nok,18.25,18.99,19.0,19.17,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2355,ok,18.33,18.99,19.0,19.18,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2392,nok,18.24,18.99,19.14,19.16,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2419,nok,18.28,18.99,19.17,19.18,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2446,nok,18.27,18.99,19.16,19.17,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2472,nok,18.2,18.99,19.0,19.18,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2500,nok,18.28,18.99,19.0,19.16,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2527,nok,18.24,18.99,19.0,19.17,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2554,nok,18.28,18.99,19.0,19.17,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2581,nok,18.22,18.99,19.0,19.18,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2608,ok,18.2,18.99,19.0,19.17,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2635,nok,18.18,18.99,19.0,19.18,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2662,ok,18.21,18.99,19.0,19.17,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2689,nok,18.19,18.99,19.0,19.18,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2716,nok,18.21,18.99,19.0,19.18,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2743,nok,18.22,18.99,19.0,19.18,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2770,ok,18.15,18.99,19.0,19.17,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
2796,nok,18.18,18.99,19.17,19.18,,19.2,19.15,15.2,15.15,1.6,1.5,9.4,9.3,4.85,4.75,4.54,4.528
